option_symbol,expiration,strike,call_put,exercise_style,shares_per_contract,date,open,high,low,close
O:RIVN230915P00010000,2023-09-15,10.0,put,american,100,2023-08-18,0.01,0.01,0.01,0.01
O:RIVN230915P00012500,2023-09-15,12.5,put,american,100,2023-08-18,0.03,0.03,0.03,0.03
O:RIVN230915P00015000,2023-09-15,15.0,put,american,100,2023-08-18,0.01,0.01,0.01,0.01
O:RIVN230915P00017500,2023-09-15,17.5,put,american,100,2023-08-18,0.01,0.01,0.01,0.01
O:RIVN230915P00020000,2023-09-15,20.0,put,american,100,2023-08-18,0.01,0.01,0.01,0.01
O:RIVN230915P00022500,2023-09-15,22.5,put,american,100,2023-08-18,0.03,0.03,0.01,0.01
O:RIVN230915P00025000,2023-09-15,25.0,put,american,100,2023-08-18,0.75,1.21,0.53,0.81
O:RIVN230915P00027500,2023-09-15,27.5,put,american,100,2023-08-18,3.5,3.5,3.3,3.3
O:RIVN230915P00030000,2023-09-15,30.0,put,american,100,2023-08-18,6.05,6.05,6.05,6.05
O:RIVN230915P00032500,2023-09-15,32.5,put,american,100,2023-08-18,,,,
O:RIVN230915P00035000,2023-09-15,35.0,put,american,100,2023-08-18,11.55,11.55,11.55,11.55
O:RIVN230915P00037500,2023-09-15,37.5,put,american,100,2023-08-18,13.3,13.3,13.3,13.3
O:RIVN230915P00040000,2023-09-15,40.0,put,american,100,2023-08-18,16.7,16.71,16.7,16.71
O:RIVN231020C00010000,2023-10-20,10.0,call,american,100,2023-09-15,7.6,7.6,7.42,7.42
O:RIVN231020C00012500,2023-10-20,12.5,call,american,100,2023-09-15,4.55,4.55,4.27,4.27
O:RIVN231020C00015000,2023-10-20,15.0,call,american,100,2023-09-15,2.18,2.18,1.61,1.89
O:RIVN231020C00017500,2023-10-20,17.5,call,american,100,2023-09-15,0.13,0.19,0.01,0.01
O:RIVN231020C00020000,2023-10-20,20.0,call,american,100,2023-09-15,0.01,0.01,0.01,0.01
O:RIVN231020C00022500,2023-10-20,22.5,call,american,100,2023-09-15,0.01,0.01,0.01,0.01
O:RIVN231020C00025000,2023-10-20,25.0,call,american,100,2023-09-15,0.01,0.01,0.01,0.01
O:RIVN231020C00027500,2023-10-20,27.5,call,american,100,2023-09-15,0.01,0.01,0.01,0.01
O:RIVN231020C00030000,2023-10-20,30.0,call,american,100,2023-09-15,0.01,0.01,0.01,0.01
O:RIVN231020C00032500,2023-10-20,32.5,call,american,100,2023-09-15,0.01,0.02,0.01,0.02
O:RIVN231020C00035000,2023-10-20,35.0,call,american,100,2023-09-15,0.01,0.01,0.01,0.01
O:RIVN231020C00037500,2023-10-20,37.5,call,american,100,2023-09-15,0.02,0.02,0.01,0.01
O:RIVN231020C00040000,2023-10-20,40.0,call,american,100,2023-09-15,0.01,0.01,0.01,0.01
O:RIVN231020P00010000,2023-10-20,10.0,put,american,100,2023-09-15,0.03,0.03,0.01,0.02
O:RIVN231020P00012500,2023-10-20,12.5,put,american,100,2023-09-15,0.01,0.01,0.01,0.01
O:RIVN231020P00015000,2023-10-20,15.0,put,american,100,2023-09-15,0.01,0.03,0.01,0.01
O:RIVN231020P00017500,2023-10-20,17.5,put,american,100,2023-09-15,0.5,0.85,0.34,0.77
O:RIVN231020P00020000,2023-10-20,20.0,put,american,100,2023-09-15,3.0,3.35,2.7,3.2
O:RIVN231020P00022500,2023-10-20,22.5,put,american,100,2023-09-15,5.48,5.76,5.25,5.75
O:RIVN231020P00025000,2023-10-20,25.0,put,american,100,2023-09-15,8.4,8.4,8.13,8.13
O:RIVN231020P00027500,2023-10-20,27.5,put,american,100,2023-09-15,10.6,10.65,10.6,10.65
O:RIVN231020P00030000,2023-10-20,30.0,put,american,100,2023-09-15,13.15,13.15,13.15,13.15
O:RIVN231020P00032500,2023-10-20,32.5,put,american,100,2023-09-15,13.55,13.55,13.55,13.55
O:RIVN231020P00035000,2023-10-20,35.0,put,american,100,2023-09-15,15.2,15.2,15.05,15.05
O:RIVN231020P00037500,2023-10-20,37.5,put,american,100,2023-09-15,18.55,18.55,18.55,18.55
O:RIVN231020P00040000,2023-10-20,40.0,put,american,100,2023-09-15,20.0,20.0,20.0,20.0
O:RIVN231117C00007500,2023-11-17,7.5,call,american,100,2023-10-20,9.3,9.3,9.3,9.3
O:RIVN231117C00010000,2023-11-17,10.0,call,american,100,2023-10-20,6.63,6.65,6.3,6.3
O:RIVN231117C00012500,2023-11-17,12.5,call,american,100,2023-10-20,4.2,4.36,4.19,4.36
O:RIVN231117C00015000,2023-11-17,15.0,call,american,100,2023-10-20,1.46,1.91,1.35,1.71
O:RIVN231117C00017500,2023-11-17,17.5,call,american,100,2023-10-20,0.02,0.03,0.01,0.01
O:RIVN231117C00020000,2023-11-17,20.0,call,american,100,2023-10-20,0.01,0.01,0.01,0.01
O:RIVN231117C00022500,2023-11-17,22.5,call,american,100,2023-10-20,,,,
O:RIVN231117C00025000,2023-11-17,25.0,call,american,100,2023-10-20,0.01,0.01,0.01,0.01
O:RIVN231117C00027500,2023-11-17,27.5,call,american,100,2023-10-20,0.01,0.01,0.01,0.01
O:RIVN231117C00030000,2023-11-17,30.0,call,american,100,2023-10-20,0.01,0.01,0.01,0.01
O:RIVN231117C00032500,2023-11-17,32.5,call,american,100,2023-10-20,0.01,0.01,0.01,0.01
O:RIVN231117C00035000,2023-11-17,35.0,call,american,100,2023-10-20,0.02,0.02,0.02,0.02
O:RIVN231117C00037500,2023-11-17,37.5,call,american,100,2023-10-20,,,,
O:RIVN231117C00040000,2023-11-17,40.0,call,american,100,2023-10-20,0.01,0.02,0.01,0.02
O:RIVN231117P00007500,2023-11-17,7.5,put,american,100,2023-10-20,0.02,0.02,0.02,0.02
O:RIVN231117P00010000,2023-11-17,10.0,put,american,100,2023-10-20,0.01,0.01,0.01,0.01
O:RIVN231117P00012500,2023-11-17,12.5,put,american,100,2023-10-20,0.01,0.03,0.01,0.03
O:RIVN231117P00015000,2023-11-17,15.0,put,american,100,2023-10-20,0.02,0.02,0.01,0.01
O:RIVN231117P00017500,2023-11-17,17.5,put,american,100,2023-10-20,1.04,1.16,0.55,0.8
