ticker,date,MOM,signal,LS_Return,SS_Return,adjStrikePrice,callPrice,putPrice,weightCall,weightPut,entry,expirationDate
BABA,2020-01-17,0.040516599,,0.00682438,-0.00682438,240,3.15,15.475,0.721436292,0.278563708,6.583297704,2020-02-21
BABA,2020-02-21,0.025177839,,-0.064998814,0.064998814,225,2.64,14.825,0.739360127,0.260639873,5.815896851,2020-03-20
BABA,2020-03-20,0.014970885,,0.042109658,-0.042109658,175,13.7,7.325,0.376204699,0.623795301,9.723304957,2020-04-17
BABA,2020-04-17,0.015879689,,0.023289366,-0.023289366,220,4.025,14.325,0.682685876,0.317314124,7.293335477,2020-05-15
BABA,2020-05-15,0.008416157,,0.040069854,-0.040069854,200,12.15,8.35,0.417245535,0.582754465,9.935533034,2020-06-19
BABA,2020-06-19,0.030032293,,0.163746984,-0.163746984,225,6.5,10.275,0.564880357,0.435119643,8.142576652,2020-07-17
BABA,2020-07-17,0.019852387,,0.143455787,-0.143455787,250,11.075,13.75,0.51147884,0.48852116,12.3817941,2020-08-21
BABA,2020-08-21,0.021531314,,0.02421305,-0.02421305,280,6.55,20.3,0.657920675,0.342079325,11.25359072,2020-09-18
BABA,2020-09-18,0.035409065,,0.036432949,-0.036432949,275,10.35,12.2,0.515730113,0.484269887,11.24589929,2020-10-16
BABA,2020-10-16,0.052501748,,-0.135645835,0.135645835,330,8.025,30.3,0.680371672,0.319628328,15.14472101,2020-11-20
BABA,2020-11-20,0.049571483,,-0.116303896,0.116303896,290,4.2,22.85,0.73908168,0.26091832,9.066126673,2020-12-18
BABA,2020-12-18,0.040878456,,0.090661643,-0.090661643,275,4.425,19.175,0.705940595,0.294059405,8.762376223,2021-01-15
BABA,2021-01-15,0.023047124,SS,-0.063310705,0.063310705,265,4.8,26.45,0.728732066,0.271267934,10.67295077,2021-02-19
BABA,2021-02-19,0.014835771,SS,-0.046391973,0.046391973,280,4.45,21.05,0.713098467,0.286901533,9.21256545,2021-03-19
BABA,2021-03-19,0.022457341,SS,0.018612123,-0.018612123,240,9,9.55,0.489622099,0.510377901,9.280707846,2021-04-16
BABA,2021-04-16,0.022610805,SS,-0.073564784,0.073564784,250,5.125,16.575,0.662077728,0.337922272,8.994210011,2021-05-21
BABA,2021-05-21,0.014565202,SS,0.059915712,-0.059915712,220,3.525,12.4,0.677325062,0.322674938,6.388740075,2021-06-18
BABA,2021-06-18,0.014139998,SS,-0.139295893,0.139295893,210,7.25,4.675,0.423849421,0.576150579,5.76641226,2021-07-16
BABA,2021-07-16,0.003809577,SS,-0.144475467,0.144475467,205,11.7,4.775,0.343652669,0.656347331,7.154794731,2021-08-20
BABA,2021-08-20,-0.00562963,SS,-0.113419919,0.113419919,160,10.4,12.55,0.493837622,0.506162378,11.48824911,2021-09-17
BABA,2021-09-17,-0.031334328,SS,0.11408437,-0.11408437,170,3.925,13.95,0.670647768,0.329352232,7.22675613,2021-10-15
BABA,2021-10-15,-0.046669648,SS,-0.226809418,0.226809418,180,4.275,16.25,0.678712483,0.321287517,8.122418018,2021-11-19
BABA,2021-11-19,-0.060292636,SS,-0.068531616,0.068531616,155,2.685,17.25,0.748295036,0.251704964,6.351082798,2021-12-17
BABA,2021-12-17,-0.03758989,SS,0.058929663,-0.058929663,130,4.775,12.925,0.622502009,0.377497991,7.851608625,2022-01-21
BABA,2022-01-21,-0.047635846,SS,-0.163765734,0.163765734,135,2.92,14.45,0.716333506,0.283666494,6.190674673,2022-02-18
BABA,2022-02-18,-0.062107961,SS,0.03432006,-0.03432006,125,5.625,11.525,0.580880517,0.419119483,8.097804947,2022-03-18
BABA,2022-03-18,-0.0509952,SS,,,120,4.35,15.85,0.663105303,0.336894697,8.224289021,2022-04-14
BABA,2022-04-15,-0.061665542,SS,-0.010710917,0.010710917,,,,,,,
BABA,2022-05-20,-0.060237548,SS,0.183551097,-0.183551097,100,2.46,15.575,0.736096618,0.263903382,5.921092857,2022-06-17
BABA,2022-06-17,-0.063334175,SS,-0.21384709,0.21384709,120,3.025,20.15,0.748166044,0.251833956,7.33765649,2022-07-15
BABA,2022-07-15,-0.069754778,SS,0.067582663,-0.067582663,110,5.15,12.45,0.601738786,0.398261214,8.057306866,2022-08-19
BABA,2022-08-19,-0.040405052,,-0.161618102,0.161618102,95,2.83,8.025,0.636469867,0.363530133,4.718539042,2022-09-16
BABA,2022-09-16,-0.046711563,,-0.205150077,0.205150077,95,2.45,10.925,0.694754892,0.305245108,5.036952294,2022-10-21
BABA,2022-10-21,-0.030256783,,0.377163295,-0.377163295,70,6.625,4.3,0.394458103,0.605541897,5.217115089,2022-11-18
BABA,2022-11-18,-0.055320644,,,,90,2.25,11.4,0.71586094,0.28413906,4.849872398,2022-12-16
COIN,2022-01-21,0.008704097,,0.003259771,-0.003259771,225,6.3,39.3,0.728902883,0.271097117,15.24620486,2022-02-18
COIN,2022-02-18,-0.014354578,,-0.00477119,0.00477119,205,11.4,27,0.591142946,0.408857054,17.77817005,2022-03-18
COIN,2022-03-18,-0.037573498,,,,200,7.05,21.9,0.638121336,0.361878664,12.42389817,2022-04-14
COIN,2022-04-15,-0.033861383,SS,-0.307071819,0.307071819,,,,,,,
COIN,2022-05-20,-0.025810145,,-0.397950013,0.397950013,80,4.2,17.9,0.660321228,0.339678772,8.853599178,2022-06-17
COIN,2022-06-17,-0.044089228,,0.33900774,-0.33900774,50,8,6.85,0.402562836,0.597437164,7.312947262,2022-07-15
COIN,2022-07-15,-0.078446181,SS,0.060989645,-0.060989645,70,2.455,18.925,0.735280611,0.264719389,6.814928329,2022-08-19
COIN,2022-08-19,-0.108622529,SS,-0.034579766,0.034579766,90,3.675,19.575,0.694434261,0.305565739,8.533495255,2022-09-16
COIN,2022-09-16,-0.086419027,SS,0.027289853,-0.027289853,90,3.725,19.725,0.693379539,0.306620461,8.63092737,2022-10-21
COIN,2022-10-21,-0.06981112,SS,-0.309734475,0.309734475,65,9.15,7.775,0.410697195,0.589302805,8.339708643,2022-11-18
COIN,2022-11-18,-0.109697634,SS,,,55,2.96,12.7,0.656465481,0.343534519,6.30602622,2022-12-16
F,2019-01-18,-0.017979291,SS,,,9,0.115,0.67,0.733620553,0.266379447,0.262840593,2019-02-15
F,2019-02-15,-0.02592964,,0.001139679,-0.001139679,,,,,,,
F,2019-03-15,-0.007479138,SS,,,8,0.57,0.14,0.304146479,0.695853521,0.270782986,2019-04-18
F,2019-04-19,-0.011816034,SS,-0.088995071,0.088995071,,,,,,,
F,2019-05-17,-0.01428719,SS,0.07458032,-0.07458032,10,0.49,0.17,0.327453021,0.672546979,0.274784967,2019-06-21
F,2019-06-21,0.002205523,,-0.054479375,0.054479375,10,0.245,0.285,0.519392882,0.480607118,0.264224285,2019-07-19
F,2019-07-19,-0.002106839,,-0.03777602,0.03777602,10,0.36,0.26,0.440935667,0.559064333,0.304093567,2019-08-16
F,2019-08-16,0.011960611,,-0.001094498,0.001094498,9,0.285,0.295,0.496942438,0.503057562,0.290030576,2019-09-20
F,2019-09-20,0.012078404,,-0.046647566,0.046647566,9,0.35,0.175,0.391138064,0.608861936,0.243449161,2019-10-18
F,2019-10-18,0.010849886,,0.054714105,-0.054714105,9,0.405,0.245,0.407764982,0.592235018,0.310242397,2019-11-15
F,2019-11-15,0.006127725,,,,9,0.215,0.255,0.514334326,0.485665674,0.234426627,2019-12-20
F,2019-12-20,0.003219855,SS,-0.03555676,0.03555676,,,,,,,
F,2020-01-17,0.025197106,,-0.210883164,0.210883164,9,0.31,0.305,0.441454838,0.558545162,0.307207274,2020-02-21
F,2020-02-21,0.012138006,,-0.306034203,0.306034203,8,0.205,0.295,0.549570168,0.450429832,0.245538685,2020-03-20
F,2020-03-20,0.009215352,,0.053829518,-0.053829518,5,0.34,1.01,0.605599299,0.394400701,0.60424847,2020-04-17
F,2020-04-17,-0.010059452,SS,0.121804333,-0.121804333,6,0.205,1.09,0.745929748,0.254070252,0.429852173,2020-05-15
F,2020-05-15,-0.056880448,SS,0.064798438,-0.064798438,5.5,0.145,0.74,0.711798747,0.288201253,0.316479746,2020-06-19
F,2020-06-19,-0.043896394,SS,0.08717098,-0.08717098,6,0.535,0.275,0.376080609,0.623919391,0.372780958,2020-07-17
F,2020-07-17,-0.039603302,SS,0.031767897,-0.031767897,7,0.435,0.65,0.560346415,0.439653585,0.529525521,2020-08-21
F,2020-08-21,-0.028759864,SS,-0.023459735,0.023459735,7,0.165,0.495,0.652897628,0.347102372,0.279543783,2020-09-18
F,2020-09-18,-0.017401046,SS,0.160663424,-0.160663424,7,0.475,0.235,0.370879391,0.629120609,0.324011054,2020-10-16
F,2020-10-16,-0.014413556,SS,0.174644606,-0.174644606,7,0.865,0.205,0.256861399,0.743138601,0.374528523,2020-11-20
F,2020-11-20,-0.012305571,SS,-0.031939991,0.031939991,9,0.265,0.515,0.587425482,0.412574518,0.368143629,2020-12-18
F,2020-12-18,-0.002673815,SS,0.19795143,-0.19795143,9,0.375,0.375,0.500088508,0.499911492,0.375,2021-01-15
F,2021-01-15,0.01079503,SS,0.11111087,-0.11111087,10,0.465,0.625,0.522301517,0.477698483,0.541431757,2021-02-19
F,2021-02-19,0.011123828,SS,0.047009745,-0.047009745,11,0.905,0.34,0.324664745,0.675335255,0.523435581,2021-03-19
F,2021-03-19,0.048290609,,-0.057958311,0.057958311,12,1.185,0.345,0.29013949,0.70986051,0.588717172,2021-04-16
F,2021-04-16,0.086212888,,0.259099078,-0.259099078,12,0.725,0.475,0.414049564,0.585950436,0.578512391,2021-05-21
F,2021-05-21,0.085592909,,0.022709647,-0.022709647,14,0.425,1.03,0.628474583,0.371525417,0.649772877,2021-06-18
F,2021-06-18,0.06925085,,-0.061238718,0.061238718,15,0.455,0.905,0.593273764,0.406726236,0.638026806,2021-07-16
F,2021-07-16,0.086914545,,-0.065949088,0.065949088,14,0.525,0.9,0.563568782,0.436431218,0.688661707,2021-08-20
F,2021-08-20,0.081054424,,0.086722941,-0.086722941,12,0.845,0.28,0.31163206,0.68836794,0.456072114,2021-09-17
F,2021-09-17,0.072599277,,0.206217624,-0.206217624,14,0.345,0.77,0.613927726,0.386072274,0.509080716,2021-10-15
F,2021-10-15,0.068736608,,0.129281007,-0.129281007,15,1.135,0.415,0.327105026,0.672894974,0.650515619,2021-11-19
F,2021-11-19,0.062014746,,0.082337692,-0.082337692,20,0.715,1.32,0.574138716,0.425861284,0.972646077,2021-12-17
F,2021-12-17,0.064885021,,-0.017626654,0.017626654,20,1.095,1.265,0.500211902,0.499788098,1.179963977,2022-01-21
F,2022-01-21,0.079541475,,-0.134977367,0.134977367,22,0.815,2.18,0.629954377,0.370045623,1.320112276,2022-02-18
F,2022-02-18,0.069031135,LS,-0.037016924,0.037016924,19,0.595,1.53,0.623896058,0.376103942,0.946657186,2022-03-18
F,2022-03-18,0.057327724,LS,,,16,1.345,0.475,0.317415337,0.682584663,0.751151343,2022-04-14
F,2022-04-15,0.040783441,LS,-0.033897974,0.033897974,,,,,,,
F,2022-05-20,0.042687203,LS,-0.186406115,0.186406115,12,1.045,0.535,0.366809359,0.633190641,0.722072773,2022-06-17
F,2022-06-17,0.00484973,,0.319856075,-0.319856075,11,0.805,0.555,0.413981699,0.586018301,0.658495425,2022-07-15
F,2022-07-15,-0.000296418,,0.047481577,-0.047481577,13,0.285,1.5,0.718959975,0.281040025,0.626463631,2022-08-19
F,2022-08-19,-0.011675272,,-0.265091761,0.265091761,17,0.275,1.365,0.720294389,0.279705611,0.579879116,2022-09-16
F,2022-09-16,0.023397925,LS,0.193750899,-0.193750899,14,1.255,0.525,0.337655547,0.662344453,0.771488549,2022-10-21
F,2022-10-21,0.019830528,LS,0.050733725,-0.050733725,12,0.815,0.675,0.441500301,0.558499699,0.736810042,2022-11-18
F,2022-11-18,-0.02301578,,,,15,0.265,1.265,0.712153439,0.287846561,0.552846561,2022-12-16
GOOGL,2019-01-18,0.006872305,,0.000586425,-0.000586425,57.5,0.85,2.9875,0.675198765,0.324801235,1.54426264,2019-02-15
GOOGL,2019-02-15,-0.009544877,,0.044683039,-0.044683039,58,0.5525,2.49,0.715388164,0.284611836,1.103935433,2019-03-15
GOOGL,2019-03-15,0.003516906,,,,61.5,0.55,2.45,0.713603726,0.286396274,1.094152921,2019-04-18
GOOGL,2019-04-19,0.009069613,,-0.077116507,0.077116507,,,,,,,
GOOGL,2019-05-17,0.014758592,,-0.021416893,0.021416893,59.75,0.9425,2.12,0.616970934,0.383029066,1.393516726,2019-06-21
GOOGL,2019-06-21,0.009196722,,0.125046202,-0.125046202,57.25,0.77,1.775,0.617269621,0.382730379,1.154644031,2019-07-19
GOOGL,2019-07-19,-0.000226199,,-0.022711571,0.022711571,58.25,0.975,2.535,0.637364515,0.362635485,1.540711356,2019-08-16
GOOGL,2019-08-16,-0.010065481,SS,0.025713897,-0.025713897,61.25,0.7125,2.895,0.700262551,0.299737449,1.366676982,2019-09-20
GOOGL,2019-09-20,0.000962908,,0.030840955,-0.030840955,63.5,0.3975,2.31,0.7522427,0.2477573,0.871335836,2019-10-18
GOOGL,2019-10-18,0.000722446,,0.035978227,-0.035978227,62.5,1.6825,1.8175,0.504354908,0.495645092,1.749412087,2019-11-15
GOOGL,2019-11-15,0.011833993,,0.027069828,-0.027069828,68,0.7375,2.035,0.645447545,0.354552455,1.19753181,2019-12-20
GOOGL,2019-12-20,0.013048216,,,,68.5,0.695,1.4775,0.623088243,0.376911757,0.98993345,2020-01-17
GOOGL,2020-01-17,0.021618734,,-0.065279017,0.065279017,,,,,,,
GOOGL,2020-02-21,0.017038901,,-0.132386578,0.132386578,76.5,0.8,3.1225,0.693509038,0.306490962,1.511825259,2020-03-20
GOOGL,2020-03-20,0.023324101,,0.15900005,-0.15900005,58.5,1.315,6.5425,0.713336226,0.286663774,2.813534881,2020-04-17
GOOGL,2020-04-17,0.01332755,,0.06446983,-0.06446983,66,1.8375,4.04,0.598985903,0.401014097,2.720733549,2020-05-15
GOOGL,2020-05-15,-0.00041253,,-0.010790651,0.010790651,70,1.7025,2.995,0.575923136,0.424076864,2.250619347,2020-06-19
GOOGL,2020-06-19,0.021052612,,0.049294979,-0.049294979,73.25,1.35,3.1875,0.632003835,0.367996165,2.026192953,2020-07-17
