ticker,signal,tradingDate,expirationDate,adjStrikePrice,weightCall,weightPut,entry
AVGO,SS,2020-07-17,2020-08-21,32.0,0.575531633,0.424468367,1.197883173
NFLX,SS,2020-07-17,2020-08-21,510.0,0.573224038,0.426775962,27.56397552
F,SS,2020-08-21,2020-09-18,7.0,0.652897628,0.347102372,0.279543783
MARA,SS,2020-08-21,2020-09-18,2.5,0.357752289,0.642247711,0.49838188
AVGO,SS,2020-08-21,2020-09-18,34.0,0.620241526,0.379758474,1.263114999
F,SS,2020-09-18,2020-10-16,7.0,0.370879391,0.629120609,0.324011054
INTC,SS,2020-09-18,2020-10-16,52.5,0.728425608,0.271574392,1.334735547
AVGO,SS,2020-09-18,2020-10-16,37.0,0.65468372,0.34531628,1.175169373
F,SS,2020-10-16,2020-11-20,7.0,0.256861399,0.743138601,0.374528523
INTC,SS,2020-10-16,2020-11-20,57.5,0.696293564,0.303706436,2.215491427
MSTR,SS,2020-10-16,2020-11-20,16.0,0.401351965,0.598648035,1.161696262
F,SS,2020-11-20,2020-12-18,9.0,0.587425482,0.412574518,0.368143629
INTC,SS,2020-11-20,2020-12-18,47.5,0.721669769,0.278330231,1.13253523
MSTR,SS,2020-11-20,2020-12-18,20.0,0.298270862,0.701729138,1.941195896
F,SS,2020-12-18,2021-01-15,9.0,0.500088508,0.499911492,0.375
INTC,SS,2020-12-18,2021-01-15,50.0,0.702313935,0.297686065,1.525819289
MSTR,SS,2020-12-18,2021-01-15,35.0,0.660169905,0.339830095,3.338036033
BABA,SS,2021-01-15,2021-02-19,265.0,0.728732066,0.271267934,10.67295077
F,SS,2021-01-15,2021-02-19,10.0,0.522301517,0.477698483,0.541431757
INTC,SS,2021-01-15,2021-02-19,62.5,0.743096624,0.256903376,2.356173692
BABA,SS,2021-02-19,2021-03-19,280.0,0.713098467,0.286901533,9.21256545
F,SS,2021-02-19,2021-03-19,11.0,0.324664745,0.675335255,0.523435581
INTC,SS,2021-02-19,2021-03-19,65.0,0.617917564,0.382082436,2.195060749
BABA,SS,2021-03-19,2021-04-16,240.0,0.489622099,0.510377901,9.280707846
GOOGL,SS,2021-03-19,2021-04-16,102.75,0.561418176,0.438581824,2.88748119
INTC,SS,2021-03-19,2021-04-16,65.0,0.560979243,0.439020757,2.451580842
BABA,SS,2021-04-16,2021-05-21,250.0,0.662077728,0.337922272,8.994210011
INTC,SS,2021-04-16,2021-05-21,65.0,0.509242734,0.490757266,2.637647565
NFLX,SS,2021-04-16,2021-05-21,575.0,0.646506314,0.353493686,24.43643144
BABA,SS,2021-05-21,2021-06-18,220.0,0.677325062,0.322674938,6.388740075
INTC,SS,2021-05-21,2021-06-18,57.5,0.633100527,0.366899473,1.457004235
NFLX,SS,2021-05-21,2021-06-18,520.0,0.718947731,0.281052269,12.10896577
BABA,SS,2021-06-18,2021-07-16,210.0,0.423849421,0.576150579,5.76641226
INTC,SS,2021-06-18,2021-07-16,57.5,0.660716611,0.339283389,1.492853422
NFLX,SS,2021-06-18,2021-07-16,520.0,0.699158817,0.300841183,12.03791468
BABA,SS,2021-07-16,2021-08-20,205.0,0.343652669,0.656347331,7.154794731
INTC,SS,2021-07-16,2021-08-20,55.0,0.497146422,0.502853578,2.318370341
NFLX,SS,2021-07-16,2021-08-20,540.0,0.543479087,0.456520913,23.56466588
AMZN,SS,2021-08-20,2021-09-17,165.75,0.72400223,0.27599777,3.08056222
BABA,SS,2021-08-20,2021-09-17,160.0,0.493837622,0.506162378,11.48824911
NFLX,SS,2021-08-20,2021-09-17,570.0,0.719978807,0.280021193,12.6144779
AMZN,SS,2021-09-17,2021-10-15,175.0,0.566894747,0.433105253,3.743251561
BABA,SS,2021-09-17,2021-10-15,170.0,0.670647768,0.329352232,7.22675613
NFLX,SS,2021-09-17,2021-10-15,590.0,0.496439993,0.503560007,16.187767
AMZN,SS,2021-10-15,2021-11-19,175.0,0.619085448,0.380914552,5.086910218
BABA,SS,2021-10-15,2021-11-19,180.0,0.678712483,0.321287517,8.122418018
INTC,SS,2021-10-15,2021-11-19,55.0,0.543159165,0.456840835,2.004609485
AMZN,SS,2021-11-19,2021-12-17,192.5,0.71621172,0.28378828,4.815561941
BABA,SS,2021-11-19,2021-12-17,155.0,0.748295036,0.251704964,6.351082798
INTC,SS,2021-11-19,2021-12-17,50.0,0.547819982,0.452180018,1.244437408
AMZN,SS,2021-12-17,2022-01-21,180.0,0.73370882,0.26629118,4.885308242
BABA,SS,2021-12-17,2022-01-21,130.0,0.622502009,0.377497991,7.851608625
INTC,SS,2021-12-17,2022-01-21,52.5,0.652594242,0.347405758,1.582960076
AMZN,SS,2022-01-21,2022-02-18,155.0,0.751399521,0.248600479,5.316219427
