ticker,date,MOM,date_tuple,date_dt,signal,LS_Return,SS_Return,adjStrikePrice,callPrice,putPrice,weightCall,weightPut,entry,expirationDate
BABA,2020-03-20,0.014970885,"(2020, 3)",2020-03-01 00:00:00,SS,0.042109658,-0.042109658,175,13.7,7.325,0.376204699,0.623795301,9.723304957,2020-04-17
NFLX,2020-03-20,-0.000474293,"(2020, 3)",2020-03-01 00:00:00,SS,0.118108363,-0.118108363,370,9.325,45.8,0.710436316,0.289563684,19.88683537,2020-04-17
TSLA,2020-03-20,0.08828885,"(2020, 3)",2020-03-01 00:00:00,LS,0.492136222,-0.492136222,35.66666667,1.476666667,8.585,0.703476591,0.296523409,3.584453902,2020-04-17
AMD,2020-04-17,0.057102478,"(2020, 4)",2020-04-01 00:00:00,LS,0.026912293,-0.026912293,60,2.785,6.275,0.591120078,0.408879922,4.211990929,2020-05-15
F,2020-04-17,-0.010059452,"(2020, 4)",2020-04-01 00:00:00,SS,0.121804333,-0.121804333,6,0.205,1.09,0.745929748,0.254070252,0.429852173,2020-05-15
AVGO,2020-04-17,-0.001709293,"(2020, 4)",2020-04-01 00:00:00,SS,0.072344914,-0.072344914,25,2.39,0.85,0.313001397,0.686998603,1.332022151,2020-05-15
NFLX,2020-04-17,0.006223294,"(2020, 4)",2020-04-01 00:00:00,SS,-0.000286976,0.000286976,440,24.525,43.2,0.549534254,0.450465746,32.93744781,2020-05-15
NVDA,2020-04-17,0.045202517,"(2020, 4)",2020-04-01 00:00:00,LS,0.214658027,-0.214658027,7.625,0.295625,0.635625,0.592409302,0.407590698,0.434205837,2020-05-15
TSLA,2020-04-17,0.102096652,"(2020, 4)",2020-04-01 00:00:00,LS,0.067940336,-0.067940336,64,1.923333333,15.65166667,0.749216756,0.250783244,5.366169304,2020-05-15
AMD,2020-05-15,0.049586349,"(2020, 5)",2020-05-01 00:00:00,LS,-0.022117369,0.022117369,60,1.445,7.2,0.711722678,0.288277322,3.10403599,2020-06-19
F,2020-05-15,-0.056880448,"(2020, 5)",2020-05-01 00:00:00,SS,0.064798438,-0.064798438,5.5,0.145,0.74,0.711798747,0.288201253,0.316479746,2020-06-19
AVGO,2020-05-15,-0.017565225,"(2020, 5)",2020-05-01 00:00:00,SS,0.095196706,-0.095196706,28,0.625,2.875,0.699917294,0.300082706,1.300186088,2020-06-19
MSTR,2020-05-15,-0.018641043,"(2020, 5)",2020-05-01 00:00:00,SS,-0.04972781,0.04972781,12,0.3225,0.745,0.617485314,0.382514686,0.484112455,2020-06-19
NVDA,2020-05-15,0.0422955,"(2020, 5)",2020-05-01 00:00:00,LS,0.07060083,-0.07060083,9.625,0.205,1.338125,0.74392367,0.25607633,0.495166491,2020-06-19
TSLA,2020-05-15,0.095874233,"(2020, 5)",2020-05-01 00:00:00,LS,0.293185264,-0.293185264,56.66666667,2.963333333,6.325,0.579789695,0.420210305,4.375940309,2020-06-19
AMD,2020-06-19,0.064122337,"(2020, 6)",2020-06-01 00:00:00,LS,0.47176901,-0.47176901,60,1.105,6.775,0.74440546,0.25559454,2.554221041,2020-07-17
F,2020-06-19,-0.043896394,"(2020, 6)",2020-06-01 00:00:00,SS,0.08717098,-0.08717098,6,0.535,0.275,0.376080609,0.623919391,0.372780958,2020-07-17
AVGO,2020-06-19,0.014731959,"(2020, 6)",2020-06-01 00:00:00,SS,0.003611818,-0.003611818,31,1.09,1.46,0.571040789,0.428959211,1.248714908,2020-07-17
META,2020-06-19,0.016914135,"(2020, 6)",2020-06-01 00:00:00,SS,0.117142265,-0.117142265,245,6.2,12.475,0.591051861,0.408948139,8.766149572,2020-07-17
NVDA,2020-06-19,0.074981294,"(2020, 6)",2020-06-01 00:00:00,LS,0.117608591,-0.117608591,9,0.605,0.3275,0.384642211,0.615357789,0.434238214,2020-07-17
TSLA,2020-06-19,0.161001672,"(2020, 6)",2020-06-01 00:00:00,LS,0.325012512,-0.325012512,66.66666667,4.653333333,4.62,0.46406067,0.53593933,4.635468689,2020-07-17
AMD,2020-07-17,0.056751742,"(2020, 7)",2020-07-01 00:00:00,LS,0.172932296,-0.172932296,62.5,1.475,8.875,0.733161264,0.266838736,3.449606646,2020-08-21
F,2020-07-17,-0.039603302,"(2020, 7)",2020-07-01 00:00:00,SS,0.031767897,-0.031767897,7,0.435,0.65,0.560346415,0.439653585,0.529525521,2020-08-21
AVGO,2020-07-17,0.007217895,"(2020, 7)",2020-07-01 00:00:00,SS,0.095975481,-0.095975481,32,0.905,1.595,0.575531633,0.424468367,1.197883173,2020-08-21
NFLX,2020-07-17,0.015285423,"(2020, 7)",2020-07-01 00:00:00,SS,0.08321207,-0.08321207,510,19.85,37.925,0.573224038,0.426775962,27.56397552,2020-08-21
NVDA,2020-07-17,0.075187945,"(2020, 7)",2020-07-01 00:00:00,LS,0.259988173,-0.259988173,10.75,0.398125,0.93375,0.606616518,0.393383482,0.608831027,2020-08-21
TSLA,2020-07-17,0.148373761,"(2020, 7)",2020-07-01 00:00:00,LS,0.7414515,-0.7414515,132,4.643333333,36.495,0.738260226,0.261739774,12.98018136,2020-08-21
AAPL,2020-08-21,0.054625994,"(2020, 8)",2020-08-01 00:00:00,LS,-0.102525564,0.102525564,131.25,3.50625,10.1125,0.646571279,0.353428721,5.841088488,2020-09-18
F,2020-08-21,-0.028759864,"(2020, 8)",2020-08-01 00:00:00,SS,-0.023459735,0.023459735,7,0.165,0.495,0.652897628,0.347102372,0.279543783,2020-09-18
MARA,2020-08-21,-0.032665073,"(2020, 8)",2020-08-01 00:00:00,SS,-0.20967705,0.20967705,2.5,0.675,0.4,0.357752289,0.642247711,0.49838188,2020-09-18
